result.feature	result.pvalue	result.fdr	result.coef	result.mean.0	result.mean.1	result.mean.0.w	result.mean.1.w
10p11.1	0.245016391423095	0.669861592233723	0.066795621445271	0.166666666666667	0.2	0.1375539889641	0.204349610409372
10p11.21	0.0736103872756322	0.506115845464282	0.108894124657559	0.163333333333333	0.233333333333333	0.130626821750675	0.239520946408234
10p11.22	0.377205720310367	0.781829477559593	0.0517484575781198	0.153333333333333	0.166666666666667	0.123947825103973	0.175696282682093
10p11.23	0.695479594501472	0.921202892048295	0.0238293874788694	0.173333333333333	0.166666666666667	0.151866895203223	0.175696282682093
10p12.1	0.485681315800581	0.829857374079189	0.042333251443769	0.15	0.155555555555556	0.121639252572036	0.163972504015805
10p12.2	0.239521129922451	0.669861592233723	0.0709299222732186	0.156666666666667	0.2	0.139937696407736	0.210867618680955
10p12.31	0.19362306873682	0.63803257489016	0.0816844034049256	0.153333333333333	0.222222222222222	0.152630772608604	0.23431517601353
10p12.33	0.238791589972731	0.669861592233723	0.0740131345290948	0.166666666666667	0.222222222222222	0.160302041484435	0.23431517601353
10p13	0.57901901958254	0.891593580144074	0.0351035237951645	0.18	0.188888888888889	0.162141000009032	0.197244523804197
10p14	0.572674886771949	0.891549937166128	0.0350205341135892	0.17	0.177777777777778	0.152399527234791	0.18742006134838
10p15.1	0.958069459071792	0.991796876772889	-0.0035777626165052	0.17	0.144444444444444	0.155826487966023	0.152248725349518
10p15.2	0.958069459071792	0.991796876772889	-0.0035777626165052	0.17	0.144444444444444	0.155826487966023	0.152248725349518
10p15.3	0.833120282343495	0.970922495834894	-0.0146359043003633	0.193333333333333	0.166666666666667	0.18705742197739	0.172421517677027
10q11.21	0.250534687088771	0.669861592233723	0.0685474899087194	0.153333333333333	0.177777777777778	0.112354563168077	0.180902053076797
10q11.22	0.193918508415075	0.63803257489016	0.0721867487567783	0.11	0.144444444444444	0.073654727590148	0.145841476346927
10q11.23	0.447663045785875	0.810197475036792	0.0429618070982857	0.123333333333333	0.133333333333333	0.0916141323972313	0.134575939495517
10q21.1	0.960664982943822	0.991805178880182	0.00290483747331059	0.133333333333333	0.0888888888888889	0.0970477000876214	0.0999525375609322
10q21.2	0.724421205362356	0.931257314543685	0.0222874959427144	0.166666666666667	0.155555555555556	0.134716800255084	0.157004296197799
10q21.3	0.233726121508458	0.669861592233723	0.0731818667651248	0.14	0.166666666666667	0.0966207883637504	0.169802655128876
10q22.1	0.279302371560257	0.691284365734747	0.0653472983114081	0.13	0.144444444444444	0.0920192486759287	0.157366546987337
10q22.2	0.43158553255107	0.810197475036792	0.0511341393182355	0.17	0.166666666666667	0.129679965001676	0.180814104319911
10q22.3	0.13701983002186	0.584954046535435	0.0985380077481093	0.186666666666667	0.222222222222222	0.127604076542381	0.22614208429049
10q23.1	0.160991851335736	0.60885232863445	0.0897999978216869	0.133333333333333	0.155555555555556	0.0865702573270943	0.176370255148781
10q23.1.1	0.2474597546368	0.669861592233723	0.0718752490521251	0.103333333333333	0.0888888888888889	0.0474432474597898	0.119318496511915
10q23.1.2	0.242079613812592	0.669861592233723	0.0762930985446104	0.116666666666667	0.111111111111111	0.0664729552998795	0.14276605384449
10q23.2	0.336922147503185	0.762124376924271	0.0604587110489573	0.113333333333333	0.0888888888888889	0.0588597854629576	0.119318496511915
10q23.31	0.237482054866148	0.669861592233723	0.0789252930687875	0.0533333333333333	0.0444444444444444	-0.00650191122202248	0.0724233818467653
10q23.32	0.16553049911416	0.608855825612	0.0888356180231661	0.0733333333333333	0.0777777777777778	0.0187590998224613	0.107594717845628
10q23.33	0.291380431740555	0.703148163871563	0.0681373104029519	0.0733333333333333	0.0666666666666667	0.0277336287763883	0.0958709391793401
10q24.1	0.703025991212515	0.922660331563426	0.0241896059127949	0.06	0.0222222222222222	0.0181407619209663	0.0423303678337613
10q24.2	0.50420048111569	0.842722296145408	0.042818021996956	0.06	0.0333333333333333	0.0178815811835218	0.0606996031804778
10q24.31	0.592175351572532	0.891593580144074	0.0328929261283597	0.0733333333333333	0.0444444444444444	0.0395304557184057	0.0724233818467653
10q24.32	0.561012859520924	0.88648339945485	0.037681923530616	0.0866666666666667	0.0888888888888889	0.0670077577698295	0.104689681300446
10q24.33	0.720240970953821	0.928420210503488	0.0223751524268432	0.09	0.0666666666666667	0.0589777308100195	0.0813528832368628
10q25.1	0.475747628257802	0.829034292945541	0.0425848195326728	0.0733333333333333	0.0666666666666667	0.03876806370419	0.0813528832368628
10q25.2	0.418508389267583	0.804784020347216	0.0478030534707668	0.0833333333333333	0.0888888888888889	0.0435761700975694	0.0913792235683363
10q25.3	0.449319122611183	0.810197475036792	0.0439525404372067	0.0933333333333333	0.0888888888888889	0.0474266831311296	0.0913792235683363
10q26.11	0.480761006679412	0.829857374079189	0.0431904339769262	0.12	0.1	0.0599125682576973	0.103103002234624
10q26.12	0.402243616778146	0.798170449655026	0.0504878962493711	0.123333333333333	0.122222222222222	0.0760626633178276	0.126550559567199
10q26.13	0.332373989882053	0.75546841661597	0.0609857166147955	0.136666666666667	0.155555555555556	0.0877555420425945	0.14874125865739
10q26.2	0.591714445277521	0.891593580144074	0.0312517448625406	0.123333333333333	0.1	0.0719066370065791	0.10315838186912
10q26.3	0.43951567939844	0.810197475036792	0.0444249491782633	0.0966666666666667	0.1	0.0587334326908564	0.10315838186912
10q26.3.1	0.793644661600242	0.965359905637884	0.0155873252796843	0.106666666666667	0.0666666666666667	0.0646160536866418	0.0802033789663261
11p11.12	0.4058565744456	0.798170449655026	-0.0399400112722811	-0.0366666666666667	-0.0777777777777778	-0.0469488901122843	-0.0868889013845655
11p11.2	0.400843639790773	0.798170449655026	0.0481516621332432	-0.05	-0.0444444444444444	-0.0855173104799573	-0.037365648346714
11p12	0.686552371103479	0.918984041548184	0.0206086879228218	-0.0733333333333333	-0.111111111111111	-0.121236978454974	-0.100628290532152
11p13	0.965166400580782	0.991805178880182	0.00222728627442212	-0.0633333333333333	-0.111111111111111	-0.116146490167432	-0.11391920389301
11p13.1	0.624266118859227	0.892017477250513	-0.0257821871472476	-0.06	-0.133333333333333	-0.0982936607174791	-0.124075847864727
11p14.1	0.933044400804241	0.985403794788766	-0.00427498271839845	-0.0866666666666667	-0.155555555555556	-0.143137663209911	-0.14741264592831
11p14.2	0.666974751756558	0.909629396340449	-0.0220282626888398	-0.0966666666666667	-0.177777777777778	-0.149906520836834	-0.171934783525674
11p14.3	0.847574855847605	0.970922495834894	-0.00976789051349744	-0.09	-0.177777777777778	-0.148931359285814	-0.158699249799312
11p15.1	0.0770721604500749	0.516628765147181	-0.0868501311896804	-0.1	-0.255555555555556	-0.153860189639147	-0.240710320828828
11p15.2	0.604082777803585	0.892017477250513	-0.0273943490362264	-0.0866666666666667	-0.177777777777778	-0.131415660032077	-0.158810009068304
11p15.3	0.79723154162979	0.965359905637884	0.01416809478545	-0.113333333333333	-0.177777777777778	-0.172978103853754	-0.158810009068304
11p15.4	0.621838905290186	0.892017477250513	-0.0290749913429227	-0.12	-0.188888888888889	-0.141403416757173	-0.170478408100095
11p15.4.1	0.800192057808236	0.965359905637884	0.0149762231697704	-0.09	-0.155555555555556	-0.1503386749055	-0.135362451735729
11p15.5	0.873494931848636	0.97504001289391	-0.00916450335708394	-0.133333333333333	-0.177777777777778	-0.162626142619891	-0.171790645976975
11p15.5.1	0.662739436337201	0.909629396340449	0.0270752007005333	-0.116666666666667	-0.122222222222222	-0.144045585767012	-0.116970385066479
11q11	0.778001730438896	0.959016535887266	0.0145737627461123	-0.0233333333333333	-0.0111111111111111	-0.0480987786457607	-0.0335250158996483
11q12.1	0.778001730438896	0.959016535887266	0.0145737627461123	-0.0233333333333333	-0.0111111111111111	-0.0480987786457607	-0.0335250158996483
11q12.2	0.641595132605371	0.906518047720202	0.0244326000719833	-0.00333333333333333	0.0222222222222222	-0.00889214920421429	0.0155404508677691
11q12.3	0.471191744687657	0.823909114256411	-0.0370027645464776	0.0266666666666667	0.0222222222222222	0.0360843943838574	-0.000918370162620315
11q12.3.1	0.980555697521289	0.992091877165354	-0.00130237494470482	0.0566666666666667	0.0666666666666667	0.0450828366404153	0.0437804616957105
11q13.1	0.974321710275201	0.991805178880182	-0.00178004268727112	0.07	0.1	0.0896245421158258	0.0878444994285547
11q13.2	0.258724040071892	0.678159670494848	-0.0555890134475235	0.0766666666666667	0.0111111111111111	0.055396611811687	-0.000192401635836606
11q13.3	0.000742224540506406	0.0666744805540853	-0.197004536242872	0.09	-0.0555555555555556	0.119404263358808	-0.0776002728840637
11q13.4	0.0209844233217881	0.296916175131006	-0.128018725792092	0.0666666666666667	-0.0333333333333333	0.080931209491106	-0.0470875163009863
11q13.5	0.414462924823515	0.804784020347216	-0.0433077807516345	0.0466666666666667	0	0.0226851060428847	-0.0206226747087498
11q14.1	0.161914870977768	0.608855825612	-0.0777224845252285	0.0766666666666667	0	0.0570998098164788	-0.0206226747087498
11q14.2	0.268757286929937	0.682134241933882	-0.0585736937256758	-0.00666666666666667	-0.0888888888888889	-0.019268366968916	-0.077842060694592
11q14.3	0.123733032306473	0.570748938237213	-0.0823028037431032	-0.0233333333333333	-0.0888888888888889	-0.00883017031234684	-0.0911329740554501
11q21	0.0901201727793575	0.533631472094902	-0.0897050205710885	-0.03	-0.111111111111111	-0.0239590271871801	-0.113664047758269
11q22.1	0.0393876284717706	0.381031073302378	-0.10765762943742	-0.0166666666666667	-0.1	0.00311903248684753	-0.104538596950573
11q22.2	0.589285972385476	0.891593580144074	-0.0300552713978922	-0.06	-0.0666666666666667	-0.0393119895538182	-0.0693672609517104
11q22.3	0.504191322011963	0.842722296145408	-0.0355651182732469	-0.0833333333333333	-0.122222222222222	-0.0898227081513092	-0.125387826424556
11q23.1	0.0608266263483423	0.485066571133814	-0.100740380740213	-0.1	-0.211111111111111	-0.0925622458451679	-0.193302626585381
11q23.2	0.421870500753067	0.80687020570861	-0.0451143527023933	-0.0933333333333333	-0.155555555555556	-0.0919791483616162	-0.13709350106401
11q23.3	0.276470051676417	0.691284365734747	-0.0605275696532687	-0.0833333333333333	-0.155555555555556	-0.0863990415184887	-0.146926611171758
11q23.3.1	0.00800717766115735	0.193198825106386	-0.156074122682262	-0.0333333333333333	-0.166666666666667	-0.00868443370381729	-0.164758556386079
11q24.1	0.0122904553754107	0.231306370165229	-0.142627999472724	-0.0466666666666667	-0.2	-0.0459754986241604	-0.188603498096884
11q24.2	0.0132274698434602	0.23720113375747	-0.139911681481272	-0.0566666666666667	-0.211111111111111	-0.0543074287338651	-0.194219110215137
11q24.3	0.134301420671179	0.584954046535435	-0.0881279664581986	-0.0633333333333333	-0.166666666666667	-0.05255057241136	-0.140678538869559
11q25	0.238211485844803	0.669861592233723	-0.0697226272470994	-0.0533333333333333	-0.144444444444444	-0.0475083542898843	-0.117230981536984
12p11.1	0.282810543209082	0.694440000704591	0.0555008854764411	0.08	0.166666666666667	0.0882967233378254	0.143797608814266
12p11.21	0.107982432411042	0.567557837297533	0.0842426313681987	0.0666666666666667	0.155555555555556	0.0611221121406384	0.145364743508837
12p11.22	0.141978732975843	0.585973630395914	0.0771376855393601	0.08	0.177777777777778	0.0783837019411937	0.155521387480554
12p11.22.1	0.138408246072421	0.584954046535435	0.0777967766200018	0.0766666666666667	0.177777777777778	0.0777246108605519	0.155521387480554
12p11.23	0.0682810483976838	0.501288970649326	0.100966772238573	0.08	0.211111111111111	0.0859273188199019	0.186894091058475
12p12.1	0.406517979494726	0.798170449655026	0.0437236698057198	0.0733333333333333	0.144444444444444	0.0832718383564009	0.126995508162121
12p12.1.1	0.465778643663465	0.822269509584545	0.0383966127989615	0.08	0.166666666666667	0.0987555393348759	0.137152152133837
12p12.2	0.485770159369832	0.829857374079189	0.0370152051975061	0.0833333333333333	0.144444444444444	0.0943335501679273	0.131348755365434
12p12.3	0.091008433021641	0.533631472094902	0.0902365511903755	0.0433333333333333	0.133333333333333	0.0221570873547799	0.112393638545155
12p12.3.1	0.105421665839389	0.56115199674587	0.0864404962715848	0.0533333333333333	0.144444444444444	0.037676920939858	0.124117417211443
12p13.1	0.0426878227543704	0.393816090312378	0.109540685894266	0.03	0.144444444444444	0.0145767313171771	0.124117417211443
12p13.2	0.122976675022901	0.570054439391871	0.0849780441057846	0.0466666666666667	0.144444444444444	0.0391393731056582	0.124117417211443
12p13.31	0.0198833338645876	0.292347143227765	0.13496317129153	0.0866666666666667	0.211111111111111	0.0594415382831415	0.194404709574671
12p13.31.1	0.166906992472575	0.608855825612	0.0766232048916872	0.05	0.144444444444444	0.0474942123197555	0.124117417211443
12p13.32	0.0406984057562855	0.383395192610542	0.116904331522393	0.0733333333333333	0.177777777777778	0.0424398013224083	0.159344132844801
12p13.33	0.120813952912234	0.570054439391871	0.0910902435853328	0.0933333333333333	0.188888888888889	0.0799776679257558	0.171067911511089
12q12	0.112228311330729	0.570054439391871	0.0833421737851878	0.0833333333333333	0.2	0.0956267710279407	0.178968944813129
12q13.11	0.913725948712584	0.982868179427624	0.00585773561233288	0.106666666666667	0.133333333333333	0.132045874465713	0.137903610078045
12q13.12	0.363314757802894	0.772857565841698	0.0430457923079152	0.0433333333333333	0.0888888888888889	0.0484209449198586	0.0914667372277739
12q13.13	0.449612524521123	0.810197475036792	-0.0385593664276417	0.0966666666666667	0.0888888888888889	0.130026103655416	0.0914667372277739
12q13.13.1	0.523611293411199	0.853931069497293	-0.0319768194760967	0.1	0.0888888888888889	0.123443556703871	0.0914667372277739
12q13.2	0.663391980874874	0.909629396340449	0.0227008071372248	0.0866666666666667	0.111111111111111	0.105449021149486	0.128149828286711
12q13.3	0.200357650376531	0.648952483457541	-0.0719601978604465	0.163333333333333	0.111111111111111	0.185758109108168	0.113797911247722
12q14.1	0.365765913248521	0.772857565841698	-0.0458720102479976	0.0733333333333333	0.0333333333333333	0.0920661471396885	0.0461941368916909
12q14.2	0.53373325099034	0.861480255886637	-0.0298742145035273	0.0633333333333333	0.0222222222222222	0.0576991160485017	0.0278249015449744
12q14.3	0.848215829981523	0.970922495834894	0.00890692979567999	0.0566666666666667	0.0444444444444444	0.0423655290818693	0.0512724588775493
12q15	0.793358506321748	0.965359905637884	0.0130952594606073	0.07	0.0555555555555556	0.052747802342717	0.0658430618033244
12q21.1	0.982783789072442	0.992091877165354	0.00126368652109389	0.0866666666666667	0.111111111111111	0.108646673206844	0.109910359727938
12q21.2	0.444135671301605	0.810197475036792	-0.0347935605358149	0.0433333333333333	0	0.0391709047482145	0.00437734421239955
12q21.31	0.419069256078784	0.804784020347216	-0.037756801935207	0.0266666666666667	-0.0222222222222222	0.0210963566250972	-0.0166604453101098
12q21.32	0.60861495612802	0.892017477250513	-0.0236061050552871	0.0266666666666667	-0.0222222222222222	0.00694565974517734	-0.0166604453101098
12q21.33	0.584388191587166	0.891593580144074	-0.0256295358350799	0.0233333333333333	-0.0333333333333333	-0.00275468814131729	-0.0283842239763972
12q22	0.572366013159379	0.891549937166128	-0.0264576558892169	0.01	-0.0444444444444444	-0.00700489007303858	-0.0334625459622555
12q23.1	0.358804181486849	0.77126004218378	-0.0446945291415485	0.0366666666666667	-0.0555555555555556	0.0100988826405665	-0.034595646500982
12q23.2	0.945347099579516	0.988758849894395	-0.0034696746277477	0.00666666666666667	-0.0444444444444444	-0.0187232762861184	-0.0221929509138661
12q23.3	0.501419245821624	0.841061515718623	-0.0336339004369283	0.00666666666666667	-0.0666666666666667	-0.0110598697618334	-0.0446937701987618
12q24.11	0.686263125816714	0.918984041548184	-0.0204059153185542	0.01	-0.0666666666666667	-0.0242878548802076	-0.0446937701987618
12q24.11.1	0.717305133461071	0.928420210503488	-0.0182457581998358	0.0166666666666667	0	0.0233238171427831	0.00507805894294723
12q24.11.2	0.969796747367616	0.991805178880182	-0.00194385540723183	0.00333333333333333	-0.0222222222222222	-0.0103174764343615	-0.0122613318415933
12q24.12	0.593693040227662	0.891593580144074	-0.0270357192445536	0.0333333333333333	-0.0444444444444444	-0.000318660169667611	-0.0273543794142212
12q24.13	0.447475265411705	0.810197475036792	-0.0420508464653631	0.0133333333333333	-0.0666666666666667	-0.00264292373339865	-0.0446937701987618
12q24.21	0.448549308220523	0.810197475036792	-0.0397912285373439	0.0233333333333333	-0.0555555555555556	0.00682123700486955	-0.0329699915324744
12q24.22	0.272015112639641	0.686236517409924	-0.0577472660835032	0.02	-0.0777777777777778	0.00132971721845407	-0.0564175488650492
12q24.23	0.28682846563099	0.697430455190598	-0.0561585385384305	0.0166666666666667	-0.0777777777777778	-0.000259010326618661	-0.0564175488650492
12q24.31	0.267319590427098	0.681701177755825	-0.0607979612272223	0.0533333333333333	-0.0444444444444444	0.0334435818130012	-0.0273543794142212
12q24.31.1	0.0223543622128403	0.301595526833468	-0.138317164382079	0.0633333333333333	-0.0555555555555556	0.0864063347555899	-0.0519108296264887
12q24.31.2	0.607756591963589	0.892017477250513	-0.0281855498062446	0	-0.0555555555555556	-0.0104343664593859	-0.0386199162656305
12q24.32	0.858668883231868	0.970922495834894	-0.00982247127512	0.01	-0.0333333333333333	-0.00626637128769197	-0.0160888425628119
12q24.33	0.918058057957644	0.983932383300847	-0.0056544761034261	0	-0.0333333333333333	-0.0104343664593859	-0.0160888425628119
13q11	0.912079447082725	0.982868179427624	0.00540380262695176	-0.15	-0.144444444444444	-0.12687933522627	-0.121475532599318
13q12.11	0.912079447082725	0.982868179427624	0.00540380262695176	-0.15	-0.144444444444444	-0.12687933522627	-0.121475532599318
13q12.12	0.470639996491545	0.823909114256411	-0.0352790450494028	-0.126666666666667	-0.166666666666667	-0.111543361092961	-0.146822406142364
13q12.12.1	0.443599240000066	0.810197475036792	-0.0389031143944898	-0.126666666666667	-0.155555555555556	-0.0942961968711156	-0.133199311265605
13q12.13	0.431417391693876	0.810197475036792	-0.0380150698439996	-0.133333333333333	-0.166666666666667	-0.108807336298364	-0.146822406142364
13q12.2	0.325870565264615	0.746092948695869	-0.0478395322998162	-0.133333333333333	-0.177777777777778	-0.108807336298364	-0.15664686859818
13q12.3	0.324529930739238	0.745303126634985	-0.0478139201562166	-0.136666666666667	-0.188888888888889	-0.114448560560217	-0.162262480716433
13q13.1	0.680224032317776	0.917035550732131	-0.020254811769201	-0.146666666666667	-0.166666666666667	-0.122358744035599	-0.1426135558048
13q13.2	0.87901130036631	0.976489965886634	-0.00771220298795581	-0.153333333333333	-0.166666666666667	-0.134901352816844	-0.1426135558048
13q13.3	0.60542465948512	0.892017477250513	-0.0272732501507888	-0.16	-0.188888888888889	-0.138787862986586	-0.166061113137375
13q14.11	0.515171316665863	0.850999834469503	0.0345564295718573	-0.156666666666667	-0.133333333333333	-0.141998649377795	-0.107442219805938
13q14.12	0.403487886426898	0.798170449655026	-0.0442489114187522	-0.136666666666667	-0.166666666666667	-0.0983646443860477	-0.1426135558048
13q14.13	0.442948252727982	0.810197475036792	-0.0419738576885541	-0.133333333333333	-0.166666666666667	-0.100639698116246	-0.1426135558048
13q14.2	0.904308615786873	0.981532888270867	-0.00598860134043502	-0.156666666666667	-0.166666666666667	-0.136624954464365	-0.1426135558048
13q14.3	0.58783124786229	0.891593580144074	-0.0277748366991436	-0.143333333333333	-0.177777777777778	-0.120991621356304	-0.148766458055448
13q21.1	0.241196314502759	0.669861592233723	-0.0607102057036704	-0.146666666666667	-0.211111111111111	-0.12322758835064	-0.18393779405431
13q21.2	0.249624878695373	0.669861592233723	0.0641241367821091	-0.153333333333333	-0.111111111111111	-0.152968844282947	-0.0888447075008381
13q21.31	0.348852966260276	0.768041646638963	0.0517249070076164	-0.153333333333333	-0.111111111111111	-0.140569614508455	-0.0888447075008381
13q21.32	0.884507863789242	0.976489965886634	0.00795972840280099	-0.153333333333333	-0.155555555555556	-0.13827526317934	-0.130315534776539
13q21.33	0.251032542593878	0.669861592233723	0.0621929205036371	-0.153333333333333	-0.1	-0.139313849338188	-0.0771209288345507
13q22.1	0.600726619622452	0.892017477250513	0.0280008051909146	-0.136666666666667	-0.122222222222222	-0.12856929135804	-0.100568486167126
13q22.2	0.437363632869895	0.810197475036792	0.0426592402666411	-0.143333333333333	-0.122222222222222	-0.143227726433767	-0.100568486167126
13q22.3	0.559788992055029	0.88648339945485	0.0313464453132311	-0.136666666666667	-0.122222222222222	-0.131914931480357	-0.100568486167126
13q31.1	0.667981373661742	0.909629396340449	0.023499951253755	-0.13	-0.122222222222222	-0.124068437420881	-0.100568486167126
13q31.2	0.516159338868499	0.850999834469503	0.0349558423228388	-0.136666666666667	-0.1	-0.124293104253458	-0.0893372619306193
13q31.3	0.855260213763406	0.970922495834894	0.00998271547628389	-0.123333333333333	-0.111111111111111	-0.110988376438695	-0.101005660962411
13q32.1	0.600760733376365	0.892017477250513	0.0283664508088401	-0.11	-0.0777777777777778	-0.100774163678468	-0.0724077128696278
13q32.2	0.583838173975504	0.891593580144074	0.0289723442490251	-0.106666666666667	-0.0777777777777778	-0.101380057118653	-0.0724077128696278
13q32.3	0.754415398792042	0.947803591806825	0.0176639697416998	-0.0866666666666667	-0.0444444444444444	-0.057310114422531	-0.0396461446808311
13q33.1	0.115341126124412	0.570054439391871	0.0900980101847578	-0.0933333333333333	-0.0111111111111111	-0.0945728188667269	-0.00447480868196878
13q33.1.1	0.0976468403216754	0.553528173148775	0.094126584988888	-0.1	-0.0111111111111111	-0.098601393670857	-0.00447480868196878
