Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.28	Signature.29	Signature.30
TCGA-V4-A9EW-01A-11D-A39W-08	0	0	0	0	7.15414639484687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84604459186493	0	0	0	0	0.170134558663383	0
TCGA-V4-A9EX-01A-11D-A39W-08	0.854812621899899	2.34669629508375	2.13351019542404	0	0.170423818831836	0	0	0	0	0	0.954432114331905	0	0	1.41577397838124	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-V4-A9EY-01A-11D-A39W-08	0	0	0	0	0	0	0	2.88873394424901	3.4789309594703	0	0.952845383208869	0	0.815031917389946	0	2.4783674541409	0	0	0	1.67881253778731	0	0	0	3.42697058432441	0.272295175883756	0	0	0
TCGA-V4-A9EZ-01A-11D-A39W-08	12.0797328586489	0	0.437441947338905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.469429210399364	0	0	1.97502985603903	1.06884309059131	0	0	0	0	0
TCGA-V4-A9F0-01A-11D-A39W-08	0	0	0.805296817444934	0	0	0	0	1.58362288922515	0	0	1.51344099131293	0	2.3881163695866	0	0	0	0	0.884305706878035	0	0.647831314397817	1.46092281947565	0	0	0	0	0	0
TCGA-V4-A9F1-01A-11D-A39W-08	0.0906825131853665	0	1.59999256637402	0	0	0	0	0	0	0.955076536605852	0.03794891210641	0	1.91751802354241	0	0	0	1.46386546052606	0	0.32104300468193	0	0	0	0	0.0434371456848086	0	0	0
TCGA-V4-A9F2-01A-11D-A39W-08	0	0	0	0	0	0	0	0	0	0	0	0	3.54790340019607	2.95850373913263	0	0	0	0	0	0.567489424682143	0	0	0	0	0	0	0
TCGA-V4-A9F3-01A-11D-A39W-08	7.02328644364232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12981698740827	0	0	0	0	2.84965176920742	0	0
TCGA-V4-A9F4-01A-11D-A39W-08	13.521524800429	0	0	0	0	0	0	2.05392361966054	0	0	2.63724154863513	0	0	0	0	0	0	0	0.36948829070473	0	0	0	0	0	0	0.825032483420872	0
TCGA-V4-A9F5-01A-11D-A39W-08	0.557604280827343	0	0.0693554911551106	0	0	1.02645741268324	0	0	1.59528833821625	0	0	0	0	0	0	0	0	0	0	2.31644683314907	0	0	0	0	2.57069370737759	1.84636825252427	0
TCGA-V4-A9F8-01A-11D-A39W-08	1.70811695831806	0.781916885851358	0	0	0.600087873801411	0	0	0.215113626156521	0	0	0	0	0	12.3191498603345	0	0	0	0	0	0	0	0	0	0	0	0	1.25045283972761
TCGA-WC-A87T-01A-11D-A39W-08	6.57251544399163	0	0	0	0	0	0	0.163210366727762	0.276660896518331	0	0	0	0	0	0	0	0	2.97348597777681	0.53235022141185	0	0.153495069095415	0	0	0	0	0	0
TCGA-WC-A87U-01A-11D-A39W-08	1.45442748965823	0	0	0	0	0	0	0.668982472289037	0	0	0	0	3.87712042838615	0	2.49918150341292	0	0	0.966067921011976	0	0	4.37078610875542	0	0	0	0	0.137711110140838	0
TCGA-WC-A87W-01A-11D-A39W-08	0.157415410889333	0	0	1.77054815954279	0	0.46700870335463	0	0.762708842736826	0	0.00660443401831292	0	0	0	0	0.448726756547582	0	0	0.309644489764207	0	2.63324806122465	0.055959435659855	0	2.09237095683305	0	0	0	0.801760272903282
TCGA-WC-A87Y-01A-11D-A39W-08	0	1.40469249850504	0	0	1.37726315534847	0	0	0	0	0	0	0	5.38759331282894	0	0	0	0	0.675037306013595	0.252089853596184	2.60925271009195	0.304499014667281	0	0	0	0	0	0
TCGA-WC-A880-01A-11D-A39W-08	0	0	1.96972135606709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63202116141405	5.13749993651127	0	0	0	0	0	0.563670718433911
TCGA-WC-A881-01A-12D-A39W-08	3.41761031521934	0	0.345597789750748	0	0	0	0	0.680470341380651	0	0	0	0	4.15802032904251	0	0	2.0554159393459	0	0	0	2.31194179887985	0	0	0	0	0	0	0
TCGA-WC-A882-01A-11D-A39W-08	7.24256548362209	0.520542804697178	0	0.235668666682908	0.512227246112605	0	0	0.217602512091449	0	0	0	0	0	1.53757637607594	0	0	0	0	0	2.55899596244234	0	0	0	0	0	0	0
