Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-BF-A1PV-01A-11D-A19A-08	14.3039662902848	0	0	0	0	222.533997071994	0	0	19.5449773580681	17.2847114020554	0	0	0	0	0	0	0	0	0	11.1221856002637	0	0	0	0	0	0	0	0
TCGA-BF-A1PX-01A-12D-A19A-08	0	0	0	486.922430755025	0	216.055241447462	0	0	0	0	0	0	0	0	0	0	79.437188739485	0	231.413070631195	0	0	0	0	0	0	0	0	0
TCGA-BF-A3DJ-01A-11D-A20D-08	12.4769036448627	0	0	0	0	111.273463281745	0	0	15.5201321734122	0	0	0	0	0	0	0	0	0	0	0.869446539328217	1.5866585686692	0	0	0	0	0	0	0
TCGA-BF-A3DL-01A-11D-A20D-08	14.2986141579917	10.837210548164	0	0	0	318.681299399003	0	0	24.6650476570469	9.51556192537587	0	0.636398486439793	0	0	0	1.04484554313147	0	0	3.84463085885467	1.94585214153299	3.54997662917208	0	0	0	0.487902805559336	1.38557342406446	0	0
TCGA-BF-A3DM-01A-11D-A20D-08	38.7645612005231	0	0	0	0	328.760832251842	0	0	12.9133536929613	32.7638652985778	0	0	0	0	0	0.551834643668769	0	0	0	0	0.902273342046879	0	0	0	0	0	0	0
TCGA-BF-A3DN-01A-11D-A20D-08	0	8.11781225987991	0	0	0	39.3805014069206	0	0	5.54790381199972	0.851853144818664	0	0	0	0	0	0	0	0	6.76010821333082	2.59970101729713	1.70565925095744	7.09634061587715	0	0	0	0	0	0
TCGA-BF-A5EO-01A-12D-A27K-08	25.5561011987967	0	0	0	22.7508342006869	474.753582738935	0	0	32.1322062833324	2.62986268916356	0	0	0	0	0	0	0	0	3.27958828695101	5.23469277042275	0	6.49161473697856	0	0	2.26397903459162	0	0	0
TCGA-BF-A5EP-01A-12D-A27K-08	5.03653078169703	0	0	8.00467421324979	10.9428237569662	89.6910206768315	0	0	0.222184233755097	4.43197541513185	0	2.37213230300434	0	0	0	0	0	0	0	0	3.2473234787302	14.8981074852756	0	0	0	7.31325657324465	4.0637329422792	0
TCGA-BF-A5EQ-01A-21D-A27K-08	29.3316440709411	0	0	0	0	462.410187844304	0	0	21.8030895696919	17.2037757226813	0	1.5233179215998	0	0	0	0	0	0	0	5.70478382777266	2.0290981338577	3.58670119365496	0	0	0	0	0	0
TCGA-BF-A5ER-01A-12D-A27K-08	16.7547593097729	0	0	0	4.1375398471884	110.761707087909	0	0	9.41226034911608	22.910883969635	0	0	0	0	0	2.32361814622937	0	0	0	0	0	0	0	0	0	0	5.20741159090413	0
TCGA-BF-A5ES-01A-11D-A27K-08	47.8891903950198	0	0	13.956410480449	0	360.314320466384	0	0	10.4691145678373	0	0	0	0	0	0	0	0	0	7.99443647942	0	0.256961962129688	25.9030624544948	0	0	1.39083469003538	0	0	0
TCGA-BF-A9VF-01A-11D-A372-08	3.76006564661958	0	0	0	2.76503018332846	49.5849560721776	0	1.36853149410742	0	15.7774548364477	0	0	0	0	0	0	0.472235211422164	0	0.130807578209146	1.65749719951159	0.0837238412674459	0	0	0	0	0	0	0
TCGA-BF-AAOU-01A-12D-A397-08	17.9491135408064	0	0	6.56287242589894	0	242.908155363166	0	0	9.67810876684907	15.5053976977721	0	0	0	0	0	0	0	0	0	0	1.41927006072445	0	0	0	0.0536668973298993	0	0	0
TCGA-BF-AAP1-01A-11D-A397-08	54.6106426684711	0	0	0	0	685.132956973426	0	0	49.860389436839	0	0	0	0	0	0	0	0	0	6.79657560649848	0	4.18327279581032	0	0	0	0	0	0	0
TCGA-BF-AAP4-01A-11D-A401-08	39.7635223672926	0	0	0	0	564.749339099628	0	0	31.4625915123837	25.9240425447643	0	0	0	0	0	0.743099251621111	0	0	0	6.30272043819114	12.6003856972611	23.6655973200263	0	0	0	0	0	0
TCGA-BF-AAP6-01A-11D-A401-08	17.2038586381255	0.910124654436359	0	0	0	29.2343535821309	0	0	9.22175237204048	0	0	0	0	0	0	0	0	0	0.0971330112335247	0.806058368196214	0.645202863313568	7.37207398330764	0	0	0	0	0	0
TCGA-BF-AAP7-01A-11D-A401-08	15.6268700592993	0	4.66868834840027	9.93193911253422	0	288.994393842352	0	0	7.92455696581821	0	0	0.254841632652245	0	0	0	3.58735405907605	0	0	0	10.4371053256034	0.327256007838927	43.1217348122731	0	1.86687541319882	2.00351294926839	3.53219527242345	0	6.06837037770454
TCGA-BF-AAP8-01A-11D-A401-08	3.72432137200151	0	0	0	0	0	0	0	0	0	0	1.33874593722823	0	2.36448676453576	0	0	0.623474551207128	0	2.04127316604798	2.09524156811911	0	1.93315272432392	0	0	0	0	0	0
